id,nama,kode,tingkat
191544,Kota Ternate,8271,2
191553,Kota Tidore Kepulauan,8272,2
191551,Pulau Morotai,8207,2
191552,Pulau Taliabu,8208,2
191415,Bima,5206,2
191414,Dompu,5205,2
191413,Kota Bima,5272,2
191411,Kota Mataram,5271,2
155798,Lombok Barat,5201,2
191409,Lombok Tengah,5202,2
191410,Lombok Timur,5203,2
191417,Lombok Utara,5208,2
191412,Sumbawa,5204,2
191416,Sumbawa Barat,5207,2
191421,Alor,5305,2
191420,Belu,5304,2
191424,Ende,5308,2
191422,Flores Timur,5306,2
191418,Kab Timor Tengah Selatan,5302,2
191438,Kota Kupang,5371,2
157047,Kupang,5301,2
191429,Lembata,5313,2
191437,Malaka,5321,2
191426,Manggarai,5310,2
191431,Manggarai Barat,5315,2
191435,Manggarai Timur,5319,2
191432,Nagekeo,5316,2
191425,Ngada,5309,2
191430,Rote Ndao,5314,2
191436,Sabu Raijua,5320,2
191423,Sikka,5307,2
191428,Sumba Barat,5312,2
191434,Sumba Barat Daya,5318,2
191433,Sumba Tengah,5317,2
191427,Sumba Timur,5311,2
191419,Timor Tengah Utara,5303,2
191555,Biak Numfor,9106,2
182979,Jayapura,9103,2
191557,Keerom,9111,2
191554,Kepulauan Yapen,9105,2
191561,Kota Jayapura,9171,2
191560,Mamberamo Raya,9120,2
191556,Sarmi,9110,2
191559,Supiori,9119,2
191558,Waropen,9115,2
191562,Fak Fak,9203,2
191565,Kaimana,9208,2
184069,Manokwari,9202,2
191566,Manokwari Selatan,9211,2
191567,Pegunungan Arfak,9212,2
191563,Teluk Bintuni,9206,2
191564,Teluk Wondama,9207,2
191586,Kota Sorong,9671,2
191585,Maybrat,9605,2
191583,Raja Ampat,9603,2
189958,Sorong,9601,2
191582,Sorong Selatan,9602,2
191584,Tambrauw,9604,2
187122,Jayawijaya,9501,2
191575,Kab Pegunungan Bintang,9502,2
191580,Lanny Jaya,9507,2
191578,Mamberamo Tengah,9505,2
191581,Nduga,9508,2
191577,Tolikara,9504,2
191576,Yahukimo,9503,2
191579,Yalimo,9506,2
191533,Asmat,9304,2
191531,Boven Digoel,9302,2
191532,Mappi,9303,2
177622,Merauke,9301,2
191574,Deiyai,9408,2
191572,Dogiyai,9406,2
191573,Intan Jaya,9407,2
191570,Mimika,9404,2
185797,Nabire,9401,2
191569,Paniai,9403,2
191571,Puncak,9405,2
191568,Puncak Jaya,9402,2
191590,Pelalawan,1405,2
191592,Rokan Hilir,1407,2
191591,Rokan Hulu,1406,2
191200,Bengkalis,1403,2
191201,Indragiri Hilir,1404,2
191199,Indragiri Hulu,1402,2
114827,Kampar,1401,2
191204,Kepulauan Meranti,1410,2
191206,Kota Dumai,1472,2
191205,Kota Pekanbaru,1471,2
191203,Kuantan Singingi,1409,2
191202,Siak,1408,2
191529,Majene,7605,2
191527,Mamasa,7603,2
191526,Mamuju,7602,2
191530,Mamuju Tengah,7606,2
191525,Pasangkayu,7601,2
191528,Polewali Mandar,7604,2
191490,Bantaeng,7303,2
191497,Barru,7311,2
191494,Bone,7308,2
191489,Bulukumba,7302,2
191501,Enrekang,7316,2
191492,Gowa,7306,2
191491,Jeneponto,7304,2
172930,Kepulauan Selayar,7301,2
191507,Kota Makassar,7371,2
191509,Kota Palopo,7373,2
191508,Kota Parepare,7372,2
191502,Luwu,7317,2
191505,Luwu Timur,7324,2
191504,Luwu Utara,7322,2
191495,Maros,7309,2
